epoch,accuracy,loss,val_accuracy,val_loss
0,0.5863747000694275,0.6719325184822083,0.47804877161979675,0.69650799036026
1,0.6557177901268005,0.6322641372680664,0.5365853905677795,0.670734703540802
2,0.6946471929550171,0.596409261226654,0.70243901014328,0.5761940479278564
3,0.7396593689918518,0.5511207580566406,0.7609755992889404,0.5026842951774597
4,0.7822384238243103,0.4868912994861603,0.8048780560493469,0.44488057494163513
